,title,year,recipients,num_recipients,motivation
174,The Nobel Prize in Physics,1989,"['Norman F. Ramsey', 'Hans G. Dehmelt', 'Wolfgang Paul']",3,“for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks”
175,The Nobel Prize in Chemistry,1989,"['Sidney Altman', 'Thomas R. Cech']",2,“for their discovery of catalytic properties of RNA”
176,The Nobel Prize in Physiology or Medicine,1989,"['J. Michael Bishop', 'Harold E. Varmus']",2,“for their discovery of the cellular origin of retroviral oncogenes”
177,The Nobel Prize in Literature,1989,['Camilo José Cela'],1,"“for a rich and intensive prose, which with restrained compassion forms a challenging vision of man’s vulnerability”"
178,The Nobel Peace Prize,1989,['The 14th Dalai Lama (Tenzin Gyatso) '],1,
179,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1989,['Trygve Haavelmo'],1,“for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures”
180,The Nobel Prize in Physics,1988,"['Leon M. Lederman', 'Melvin Schwartz', 'Jack Steinberger']",3,“for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino”
181,The Nobel Prize in Chemistry,1988,"['Johann Deisenhofer', 'Robert Huber', 'Hartmut Michel']",3,“for the determination of the three-dimensional structure of a photosynthetic reaction centre”
182,The Nobel Prize in Physiology or Medicine,1988,"['Sir James W. Black', 'Gertrude B. Elion', 'George H. Hitchings']",3,“for their discoveries of important principles for drug treatment”
183,The Nobel Prize in Literature,1988,['Naguib Mahfouz'],1,"“who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind”"
184,The Nobel Peace Prize,1988,['United Nations Peacekeeping Forces '],1,
185,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1988,['Maurice Allais'],1,“for his pioneering contributions to the theory of markets and efficient utilization of resources”
186,The Nobel Prize in Physics,1987,"['J. Georg Bednorz', 'K. Alexander Müller']",2,“for their important break-through in the discovery of superconductivity in ceramic materials”
187,The Nobel Prize in Chemistry,1987,"['Donald J. Cram', 'Jean-Marie Lehn', 'Charles J. Pedersen']",3,“for their development and use of molecules with structure-specific interactions of high selectivity”
188,The Nobel Prize in Physiology or Medicine,1987,['Susumu Tonegawa'],1,“for his discovery of the genetic principle for generation of antibody diversity”
189,The Nobel Prize in Literature,1987,['Joseph Brodsky'],1,"“for an all-embracing authorship, imbued with clarity of thought and poetic intensity”"
190,The Nobel Peace Prize,1987,['Oscar Arias Sánchez'],1,"“for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year”"
191,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1987,['Robert M. Solow'],1,“for his contributions to the theory of economic growth”
192,The Nobel Prize in Physics,1986,"['Ernst Ruska', 'Gerd Binnig', 'Heinrich Rohrer']",3,"“for his fundamental work in electron optics, and for the design of the first electron microscope”"
193,The Nobel Prize in Chemistry,1986,"['Dudley R. Herschbach', 'Yuan T. Lee', 'John C. Polanyi']",3,“for their contributions concerning the dynamics of chemical elementary processes”
194,The Nobel Prize in Physiology or Medicine,1986,"['Stanley Cohen', 'Rita Levi-Montalcini']",2,“for their discoveries of growth factors”
195,The Nobel Prize in Literature,1986,['Wole Soyinka'],1,“who in a wide cultural perspective and with poetic overtones fashions the drama of existence”
196,The Nobel Peace Prize,1986,['Elie Wiesel'],1,
197,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1986,['James M. Buchanan Jr.'],1,“for his development of the contractual and constitutional bases for the theory of economic and political decision-making”
198,The Nobel Prize in Physics,1985,['Klaus von Klitzing'],1,“for the discovery of the quantized Hall effect”
199,The Nobel Prize in Chemistry,1985,"['Herbert A. Hauptman', 'Jerome Karle']",2,“for their outstanding achievements in the development of direct methods for the determination of crystal structures”
200,The Nobel Prize in Physiology or Medicine,1985,"['Michael S. Brown', 'Joseph L. Goldstein']",2,“for their discoveries concerning the regulation of cholesterol metabolism”
201,The Nobel Prize in Literature,1985,['Claude Simon'],1,“who in his novel combines the poet’s and the painter’s creativeness with a deepened awareness of time in the depiction of the human condition”
202,The Nobel Peace Prize,1985,['International Physicians for the Prevention of Nuclear War '],1,
203,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1985,['Franco Modigliani'],1,“for his pioneering analyses of saving and of financial markets”
204,The Nobel Prize in Physics,1984,"['Carlo Rubbia', 'Simon van der Meer']",2,"“for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction”"
205,The Nobel Prize in Chemistry,1984,['Robert Bruce Merrifield'],1,“for his development of methodology for chemical synthesis on a solid matrix”
206,The Nobel Prize in Physiology or Medicine,1984,"['Niels K. Jerne', 'Georges J.F. Köhler', 'César Milstein']",3,“for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies”
207,The Nobel Prize in Literature,1984,['Jaroslav Seifert'],1,"“for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man”"
208,The Nobel Peace Prize,1984,['Desmond Mpilo Tutu'],1,
209,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1984,['Richard Stone'],1,“for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis”
210,The Nobel Prize in Physics,1983,"['Subramanyan Chandrasekhar', 'William Alfred Fowler']",2,“for his theoretical studies of the physical processes of importance to the structure and evolution of the stars”
211,The Nobel Prize in Chemistry,1983,['Henry Taube'],1,"“for his work on the mechanisms of electron transfer reactions, especially in metal complexes”"
212,The Nobel Prize in Physiology or Medicine,1983,['Barbara McClintock'],1,“for her discovery of mobile genetic elements”
213,The Nobel Prize in Literature,1983,['William Golding'],1,"“for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today”"
214,The Nobel Peace Prize,1983,['Lech Walesa'],1,
215,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1983,['Gerard Debreu'],1,“for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium”
216,The Nobel Prize in Physics,1982,['Kenneth G. Wilson'],1,“for his theory for critical phenomena in connection with phase transitions”
217,The Nobel Prize in Chemistry,1982,['Aaron Klug'],1,“for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes”
218,The Nobel Prize in Physiology or Medicine,1982,"['Sune K. Bergström', 'Bengt I. Samuelsson', 'John R. Vane']",3,“for their discoveries concerning prostaglandins and related biologically active substances”
219,The Nobel Prize in Literature,1982,['Gabriel García Márquez'],1,"“for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent’s life and conflicts”"
220,The Nobel Peace Prize,1982,"['Alva Myrdal', 'Alfonso García Robles']",2,
221,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1982,['George J. Stigler'],1,"“for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation”"
222,The Nobel Prize in Physics,1981,"['Nicolaas Bloembergen', 'Arthur Leonard Schawlow', 'Kai M. Siegbahn']",3,“for their contribution to the development of laser spectroscopy”
223,The Nobel Prize in Chemistry,1981,"['Kenichi Fukui', 'Roald Hoffmann']",2,"“for their theories, developed independently, concerning the course of chemical reactions”"
224,The Nobel Prize in Physiology or Medicine,1981,"['Roger W. Sperry', 'David H. Hubel', 'Torsten N. Wiesel']",3,“for his discoveries concerning the functional specialization of the cerebral hemispheres”
225,The Nobel Prize in Literature,1981,['Elias Canetti'],1,"“for writings marked by a broad outlook, a wealth of ideas and artistic power”"
226,The Nobel Peace Prize,1981,['Office of the United Nations High Commissioner for Refugees (UNHCR) '],1,
227,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1981,['James Tobin'],1,"“for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices”"
228,The Nobel Prize in Physics,1980,"['James Watson Cronin', 'Val Logsdon Fitch']",2,“for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons”
229,The Nobel Prize in Chemistry,1980,"['Paul Berg', 'Walter Gilbert', 'Frederick Sanger']",3,"“for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA”"
230,The Nobel Prize in Physiology or Medicine,1980,"['Baruj Benacerraf', 'Jean Dausset', 'George D. Snell']",3,“for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions”
231,The Nobel Prize in Literature,1980,['Czeslaw Milosz'],1,“who with uncompromising clear-sightedness voices man’s exposed condition in a world of severe conflicts”
232,The Nobel Peace Prize,1980,['Adolfo Pérez Esquivel'],1,
233,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1980,['Lawrence R. Klein'],1,“for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies”
234,The Nobel Prize in Physics,1979,"['Sheldon Lee Glashow', 'Abdus Salam', 'Steven Weinberg']",3,"“for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current”"
235,The Nobel Prize in Chemistry,1979,"['Herbert C. Brown', 'Georg Wittig']",2,"“for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis”"
236,The Nobel Prize in Physiology or Medicine,1979,"['Allan M. Cormack', 'Godfrey N. Hounsfield']",2,“for the development of computer assisted tomography”
237,The Nobel Prize in Literature,1979,['Odysseus Elytis'],1,"“for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man’s struggle for freedom and creativeness”"
238,The Nobel Peace Prize,1979,['Mother Teresa '],1,
239,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1979,"['Theodore W. Schultz', 'Sir Arthur Lewis']",2,“for their pioneering research into economic development research with particular consideration of the problems of developing countries”
240,The Nobel Prize in Physics,1978,"['Pyotr Leonidovich Kapitsa', 'Arno Allan Penzias', 'Robert Woodrow Wilson']",3,“for his basic inventions and discoveries in the area of low-temperature physics”
241,The Nobel Prize in Chemistry,1978,['Peter D. Mitchell'],1,“for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory”
242,The Nobel Prize in Physiology or Medicine,1978,"['Werner Arber', 'Daniel Nathans', 'Hamilton O. Smith']",3,“for the discovery of restriction enzymes and their application to problems of molecular genetics”
243,The Nobel Prize in Literature,1978,['Isaac Bashevis Singer'],1,"“for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life”"
244,The Nobel Peace Prize,1978,"['Mohamed Anwar al-Sadat', 'Menachem Begin']",2,
245,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1978,['Herbert A. Simon'],1,“for his pioneering research into the decision-making process within economic organizations”
246,The Nobel Prize in Physics,1977,"['Philip Warren Anderson', 'Sir Nevill Francis Mott', 'John Hasbrouck van Vleck']",3,“for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems”
247,The Nobel Prize in Chemistry,1977,['Ilya Prigogine'],1,"“for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures”"
248,The Nobel Prize in Physiology or Medicine,1977,"['Roger Guillemin', 'Andrew V. Schally', 'Rosalyn Yalow']",3,“for their discoveries concerning the peptide hormone production of the brain”
249,The Nobel Prize in Literature,1977,['Vicente Aleixandre'],1,"“for a creative poetic writing which illuminates man’s condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars”"
250,The Nobel Peace Prize,1977,['Amnesty International '],1,
251,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1977,"['Bertil Ohlin', 'James E. Meade']",2,“for their pathbreaking contribution to the theory of international trade and international capital movements”
252,The Nobel Prize in Physics,1976,"['Burton Richter', 'Samuel Chao Chung Ting']",2,“for their pioneering work in the discovery of a heavy elementary particle of a new kind”
253,The Nobel Prize in Chemistry,1976,['William N. Lipscomb'],1,“for his studies on the structure of boranes illuminating problems of chemical bonding”
254,The Nobel Prize in Physiology or Medicine,1976,"['Baruch S. Blumberg', 'D. Carleton Gajdusek']",2,“for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases”
255,The Nobel Prize in Literature,1976,['Saul Bellow'],1,“for the human understanding and subtle analysis of contemporary culture that are combined in his work”
256,The Nobel Peace Prize,1976,"['Betty Williams', 'Mairead Corrigan']",2,
257,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1976,['Milton Friedman'],1,"“for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy”"
258,The Nobel Prize in Physics,1975,"['Aage Niels Bohr', 'Ben Roy Mottelson', 'Leo James Rainwater']",3,“for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection”
259,The Nobel Prize in Chemistry,1975,"['John Warcup Cornforth', 'Vladimir Prelog']",2,“for his work on the stereochemistry of enzyme-catalyzed reactions”
260,The Nobel Prize in Physiology or Medicine,1975,"['David Baltimore', 'Renato Dulbecco', 'Howard Martin Temin']",3,“for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell”
261,The Nobel Prize in Literature,1975,['Eugenio Montale'],1,"“for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions”"
262,The Nobel Peace Prize,1975,['Andrei Dmitrievich Sakharov'],1,
263,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1975,"['Leonid Vitaliyevich Kantorovich', 'Tjalling C. Koopmans']",2,“for their contributions to the theory of optimum allocation of resources”
264,The Nobel Prize in Physics,1974,"['Sir Martin Ryle', 'Antony Hewish']",2,"“for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars”"
265,The Nobel Prize in Chemistry,1974,['Paul J. Flory'],1,"“for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules”"
266,The Nobel Prize in Physiology or Medicine,1974,"['Albert Claude', 'Christian de Duve', 'George E. Palade']",3,“for their discoveries concerning the structural and functional organization of the cell”
267,The Nobel Prize in Literature,1974,"['Eyvind Johnson', 'Harry Martinson']",2,"“for a narrative art, far-seeing in lands and ages, in the service of freedom”"
268,The Nobel Peace Prize,1974,"['Seán MacBride', 'Eisaku Sato']",2,
269,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1974,"['Gunnar Myrdal', 'Friedrich August von Hayek']",2,"“for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena”"
270,The Nobel Prize in Physics,1973,"['Leo Esaki', 'Ivar Giaever', 'Brian David Josephson']",3,"“for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively”"
271,The Nobel Prize in Chemistry,1973,"['Ernst Otto Fischer', 'Geoffrey Wilkinson']",2,"“for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds”"
272,The Nobel Prize in Physiology or Medicine,1973,"['Karl von Frisch', 'Konrad Lorenz', 'Nikolaas Tinbergen']",3,“for their discoveries concerning organization and elicitation of individual and social behaviour patterns”
273,The Nobel Prize in Literature,1973,['Patrick White'],1,“for an epic and psychological narrative art which has introduced a new continent into literature”
274,The Nobel Peace Prize,1973,"['Henry A. Kissinger', 'Le Duc Tho ']",2,
275,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1973,['Wassily Leontief'],1,“for the development of the input-output method and for its application to important economic problems”
276,The Nobel Prize in Physics,1972,"['John Bardeen', 'Leon Neil Cooper', 'John Robert Schrieffer']",3,"“for their jointly developed theory of superconductivity, usually called the BCS-theory”"
277,The Nobel Prize in Chemistry,1972,"['Christian B. Anfinsen', 'Stanford Moore', 'William H. Stein']",3,"“for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation”"
278,The Nobel Prize in Physiology or Medicine,1972,"['Gerald M. Edelman', 'Rodney R. Porter']",2,“for their discoveries concerning the chemical structure of antibodies”
279,The Nobel Prize in Literature,1972,['Heinrich Böll'],1,“for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature”
280,The Nobel Peace Prize,1972,[],0,No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.
281,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1972,"['John R. Hicks', 'Kenneth J. Arrow']",2,“for their pioneering contributions to general economic equilibrium theory and welfare theory”
282,The Nobel Prize in Physics,1971,['Dennis Gabor'],1,“for his invention and development of the holographic method”
283,The Nobel Prize in Chemistry,1971,['Gerhard Herzberg'],1,"“for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals”"
284,The Nobel Prize in Physiology or Medicine,1971,"['Earl W. Sutherland, Jr.']",1,“for his discoveries concerning the mechanisms of the action of hormones”
285,The Nobel Prize in Literature,1971,['Pablo Neruda'],1,“for a poetry that with the action of an elemental force brings alive a continent’s destiny and dreams”
286,The Nobel Peace Prize,1971,['Willy Brandt'],1,
287,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1971,['Simon Kuznets'],1,“for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development”
288,The Nobel Prize in Physics,1970,"['Hannes Olof Gösta Alfvén', 'Louis Eugène Félix Néel']",2,“for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics”
289,The Nobel Prize in Chemistry,1970,['Luis F. Leloir'],1,“for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates”
290,The Nobel Prize in Physiology or Medicine,1970,"['Sir Bernard Katz', 'Ulf von Euler', 'Julius Axelrod']",3,"“for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation”"
291,The Nobel Prize in Literature,1970,['Aleksandr Isayevich Solzhenitsyn'],1,“for the ethical force with which he has pursued the indispensable traditions of Russian literature”
292,The Nobel Peace Prize,1970,['Norman E. Borlaug'],1,
293,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1970,['Paul A. Samuelson'],1,“for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science”
294,The Nobel Prize in Physics,1969,['Murray Gell-Mann'],1,“for his contributions and discoveries concerning the classification of elementary particles and their interactions”
295,The Nobel Prize in Chemistry,1969,"['Derek H. R. Barton', 'Odd Hassel']",2,“for their contributions to the development of the concept of conformation and its application in chemistry”
296,The Nobel Prize in Physiology or Medicine,1969,"['Max Delbrück', 'Alfred D. Hershey', 'Salvador E. Luria']",3,“for their discoveries concerning the replication mechanism and the genetic structure of viruses”
297,The Nobel Prize in Literature,1969,['Samuel Beckett'],1,"“for his writing, which – in new forms for the novel and drama – in the destitution of modern man acquires its elevation”"
298,The Nobel Peace Prize,1969,['International Labour Organization (I.L.O.) '],1,
299,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1969,"['Ragnar Frisch', 'Jan Tinbergen']",2,“for having developed and applied dynamic models for the analysis of economic processes”
300,The Nobel Prize in Physics,1968,['Luis Walter Alvarez'],1,"“for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis”"
301,The Nobel Prize in Chemistry,1968,['Lars Onsager'],1,"“for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes”"
302,The Nobel Prize in Physiology or Medicine,1968,"['Robert W. Holley', 'Har Gobind Khorana', 'Marshall W. Nirenberg']",3,“for their interpretation of the genetic code and its function in protein synthesis”
303,The Nobel Prize in Literature,1968,['Yasunari Kawabata'],1,"“for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind”"
304,The Nobel Peace Prize,1968,['René Cassin'],1,
305,The Nobel Prize in Physics,1967,['Hans Albrecht Bethe'],1,"“for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars”"
306,The Nobel Prize in Chemistry,1967,"['Manfred Eigen', 'Ronald George Wreyford Norrish', 'George Porter']",3,"“for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy”"
307,The Nobel Prize in Physiology or Medicine,1967,"['Ragnar Granit', 'Haldan Keffer Hartline', 'George Wald']",3,“for their discoveries concerning the primary physiological and chemical visual processes in the eye”
308,The Nobel Prize in Literature,1967,['Miguel Angel Asturias'],1,"“for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America”"
309,The Nobel Peace Prize,1967,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
310,The Nobel Prize in Physics,1966,['Alfred Kastler'],1,“for the discovery and development of optical methods for studying Hertzian resonances in atoms”
311,The Nobel Prize in Chemistry,1966,['Robert S. Mulliken'],1,“for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method”
312,The Nobel Prize in Physiology or Medicine,1966,"['Peyton Rous', 'Charles Brenton Huggins']",2,“for his discovery of tumour-inducing viruses”
313,The Nobel Prize in Literature,1966,"['Shmuel Yosef Agnon', 'Nelly Sachs']",2,“for his profoundly characteristic narrative art with motifs from the life of the Jewish people”
314,The Nobel Peace Prize,1966,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
315,The Nobel Prize in Physics,1965,"['Sin-Itiro Tomonaga', 'Julian Schwinger', 'Richard P. Feynman']",3,"“for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles”"
316,The Nobel Prize in Chemistry,1965,['Robert Burns Woodward'],1,“for his outstanding achievements in the art of organic synthesis”
317,The Nobel Prize in Physiology or Medicine,1965,"['François Jacob', 'André Lwoff', 'Jacques Monod']",3,“for their discoveries concerning genetic control of enzyme and virus synthesis”
318,The Nobel Prize in Literature,1965,['Mikhail Aleksandrovich Sholokhov'],1,"“for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people”"
319,The Nobel Peace Prize,1965,['United Nations Children’s Fund (UNICEF) '],1,
320,The Nobel Prize in Physics,1964,"['Charles Hard Townes', 'Nicolay Gennadiyevich Basov', 'Aleksandr Mikhailovich Prokhorov']",3,"“for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle”"
321,The Nobel Prize in Chemistry,1964,['Dorothy Crowfoot Hodgkin'],1,“for her determinations by X-ray techniques of the structures of important biochemical substances”
322,The Nobel Prize in Physiology or Medicine,1964,"['Konrad Bloch', 'Feodor Lynen']",2,“for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism”
323,The Nobel Prize in Literature,1964,['Jean-Paul Sartre'],1,"“for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age”"
324,The Nobel Peace Prize,1964,['Martin Luther King Jr.'],1,
325,The Nobel Prize in Physics,1963,"['Eugene Paul Wigner', 'Maria Goeppert Mayer', 'J. Hans D. Jensen']",3,"“for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles”"
326,The Nobel Prize in Chemistry,1963,"['Karl Ziegler', 'Giulio Natta']",2,“for their discoveries in the field of the chemistry and technology of high polymers”
327,The Nobel Prize in Physiology or Medicine,1963,"['Sir John Carew Eccles', 'Alan Lloyd Hodgkin', 'Andrew Fielding Huxley']",3,“for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane”
328,The Nobel Prize in Literature,1963,['Giorgos Seferis'],1,"“for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture”"
329,The Nobel Peace Prize,1963,"['Comité international de la Croix Rouge (International Committee of the Red Cross) ', 'Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies) ']",2,
330,The Nobel Prize in Physics,1962,['Lev Davidovich Landau'],1,"“for his pioneering theories for condensed matter, especially liquid helium”"
331,The Nobel Prize in Chemistry,1962,"['Max Ferdinand Perutz', 'John Cowdery Kendrew']",2,“for their studies of the structures of globular proteins”
332,The Nobel Prize in Physiology or Medicine,1962,"['Francis Harry Compton Crick', 'James Dewey Watson', 'Maurice Hugh Frederick Wilkins']",3,“for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material”
333,The Nobel Prize in Literature,1962,['John Steinbeck'],1,"“for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception”"
334,The Nobel Peace Prize,1962,['Linus Carl Pauling'],1,
335,The Nobel Prize in Physics,1961,"['Robert Hofstadter', 'Rudolf Ludwig Mössbauer']",2,“for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons”
336,The Nobel Prize in Chemistry,1961,['Melvin Calvin'],1,“for his research on the carbon dioxide assimilation in plants”
337,The Nobel Prize in Physiology or Medicine,1961,['Georg von Békésy'],1,“for his discoveries of the physical mechanism of stimulation within the cochlea”
338,The Nobel Prize in Literature,1961,['Ivo Andric'],1,“for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country”
339,The Nobel Peace Prize,1961,['Dag Hjalmar Agne Carl Hammarskjöld'],1,
340,The Nobel Prize in Physics,1960,['Donald Arthur Glaser'],1,“for the invention of the bubble chamber”
341,The Nobel Prize in Chemistry,1960,['Willard Frank Libby'],1,"“for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science”"
342,The Nobel Prize in Physiology or Medicine,1960,"['Sir Frank Macfarlane Burnet', 'Peter Brian Medawar']",2,“for discovery of acquired immunological tolerance”
343,The Nobel Prize in Literature,1960,['Saint-John Perse'],1,“for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time”
344,The Nobel Peace Prize,1960,['Albert John Lutuli'],1,
345,The Nobel Prize in Physics,1959,"['Emilio Gino Segrè', 'Owen Chamberlain']",2,“for their discovery of the antiproton”
346,The Nobel Prize in Chemistry,1959,['Jaroslav Heyrovsky'],1,“for his discovery and development of the polarographic methods of analysis”
347,The Nobel Prize in Physiology or Medicine,1959,"['Severo Ochoa', 'Arthur Kornberg']",2,“for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid”
348,The Nobel Prize in Literature,1959,['Salvatore Quasimodo'],1,"“for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times”"
349,The Nobel Peace Prize,1959,['Philip J. Noel-Baker'],1,
350,The Nobel Prize in Physics,1958,"['Pavel Alekseyevich Cherenkov', 'Il´ja Mikhailovich Frank', 'Igor Yevgenyevich Tamm']",3,“for the discovery and the interpretation of the Cherenkov effect”
351,The Nobel Prize in Chemistry,1958,['Frederick Sanger'],1,"“for his work on the structure of proteins, especially that of insulin”"
352,The Nobel Prize in Physiology or Medicine,1958,"['George Wells Beadle', 'Edward Lawrie Tatum', 'Joshua Lederberg']",3,“for their discovery that genes act by regulating definite chemical events”
353,The Nobel Prize in Literature,1958,['Boris Leonidovich Pasternak'],1,“for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition”
354,The Nobel Peace Prize,1958,['Georges Pire'],1,
355,The Nobel Prize in Physics,1957,"['Chen Ning Yang', 'Tsung-Dao (T.D.) Lee']",2,“for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles”
356,The Nobel Prize in Chemistry,1957,['Lord (Alexander R.) Todd'],1,“for his work on nucleotides and nucleotide co-enzymes”
357,The Nobel Prize in Physiology or Medicine,1957,['Daniel Bovet'],1,"“for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles”"
358,The Nobel Prize in Literature,1957,['Albert Camus'],1,"“for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times”"
359,The Nobel Peace Prize,1957,['Lester Bowles Pearson'],1,
