location,lat,lon
"Media, Pennsylvania",,
"Hershey, Pennsylvania",,
"Carlisle , Pennsylvania",,
"Dubois, Pennsylvania",,
"Lemont Furnace, Pennsylvania",,
"Malvern, Pennsylvania",,
"McKeesport, Pennsylvania",,
"Middletown, Pennsylvania",,
"Hazleton, Pennsylvania",,
"Mont Alto, Pennsylvania",,
"New Kensington, Pennsylvania",,
"Schuylkill Haven, Pennsylvania",,
"Dunmore, Pennsylvania",,
"Sharon, Pennsylvania",,
"Lehman, Pennsylvania",,
"York, Pennsylvania",,
"Moon Township, Pennsylvania",,
"Rosemont, Pennsylvania",,
"Loretto, Pennsylvania",,
"Latrobe, Pennsylvania",,
"Greensburg, Pennsylvania",,
"Shippensburg, Pennsylvania",,
"Slippery Rock, Pennsylvania",,
"Selinsgrove, Pennsylvania",,
"Swarthmore, Pennsylvania",,
"Greenville, Pennsylvania",,
"Johnstown, Pennsylvania",,
"Bradford, Pennsylvania",,
"Phoenixville, Pennsylvania",,
"Collegeville, Pennsylvania",,
"Villanova, Pennsylvania",,
"Washington, Pennsylvania",,
"Waynesburg, Pennsylvania",,
"West Chester, Pennsylvania",,
"New Wilmington, Pennsylvania",,
"Chester, Pennsylvania",,
"Chambersburg, Pennsylvania",,
"San Juan, Puerto Rico",,
"Aguadilla, Puerto Rico",,
"Arecibo, Puerto Rico",,
"Bayamon, Puerto Rico",,
"Carolina, Puerto Rico",,
"Cayey, Puerto Rico",,
"Humacao, Puerto Rico",,
"Ponce, Puerto Rico",,
"Rio Piedras, Puerto Rico",,
"Utuado, Puerto Rico",,
"Providence, Rhode Island",,
"Smithfield, Rhode Island",,
"Bristol, Rhode Island",,
"Newport, Rhode Island",,
"Kingston, Rhode Island",,
"Anderson, South Carolina",,
"Columbia, South Carolina",,
"Greenville, South Carolina",,
"North Charleston, South Carolina",,
"Orangeburg, South Carolina",,
"Clemson, South Carolina",,
"Conway, South Carolina",,
"Hartsville, South Carolina",,
"Charleston, South Carolina",,
"Spartanburg, South Carolina",,
"Due West, South Carolina",,
"Florence, South Carolina",,
"Greenwood, South Carolina",,
"Gaffney, South Carolina",,
"Newberry, South Carolina",,
"Tigerville, South Carolina",,
"Clinton, South Carolina",,
"Central, South Carolina",,
"Pendleton, South Carolina",,
"Aiken, South Carolina",,
"Blufton, South Carolina",,
"Rock Hill, South Carolina",,
"Sioux Falls, South Dakota",,
"Spearfish, South Dakota",,
"Madison, South Dakota",,
"Yankton, South Dakota",,
"Aberdeen, South Dakota",,
"Kyle , South Dakota",,
"Mission, South Dakota",,
"Rapid City , South Dakota",,
"Brookings, South Dakota",,
"Vermillion, South Dakota",,
"Clarksville, Tennessee",,
"Nashville, Tennessee",,
"McKenzie, Tennessee",,
"Jefferson City, Tennessee",,
"Chattanooga, Tennessee",,
"Memphis, Tennessee",,
"Cleveland, Tennessee",,
"Columbia, Tennessee",,
"Lebanon, Tennessee",,
"Dyersburg, Tennessee",,
"Johnson City, Tennessee",,
"Jackson, Tennessee",,
"Bristol, Tennessee",,
"Harrogate, Tennessee",,
"Maryville, Tennessee",,
"Murfreesboro, Tennessee",,
"Milligan College, Tennessee",,
"Tullahoma, Tennessee",,
"Blountville, Tennessee",,
"Knoxville, Tennessee",,
"Harriman, Tennessee",,
"Collegedale, Tennessee",,
"Athens, Tennessee",,
"Covington, Tennessee",,
"Crossville, Tennessee",,
"Crump, Tennessee",,
"Dickson, Tennessee",,
"Elizabethton, Tennessee",,
"Hartsville, Tennessee",,
"Hohenwald, Tennessee",,
"Jacksboro, Tennessee",,
"Livingston, Tennessee",,
"McMinnville, Tennessee",,
"Morristown, Tennessee",,
"Newbern, Tennessee",,
"Huntsville, Tennessee",,
"Paris, Tennessee",,
"Pulaski, Tennessee",,
"Ripley, Tennessee",,
"Shelbyville, Tennessee",,
"Whiteville, Tennessee",,
"Cookeville, Tennessee",,
"Sewanee, Tennessee",,
"Greenville, Tennessee",,
"Chattanooga , Tennessee",,
"Martin, Tennessee",,
"Gallatin, Tennessee",,
"Abilene, Texas",,
"San Angelo, Texas",,
"Sherman, Texas",,
"Austin, Texas",,
"Waco, Texas",,
"Brenham, Texas",,
"Richwood, Texas",,
"McKinney, Texas",,
"Dallas, Texas",,
"Marshall, Texas",,
"Galveston, Texas",,
"Dension, Texas",,
"Hillsboro, Texas",,
"Houston, Texas",,
"Brownwood, Texas",,
"Beaumont, Texas",,
"Laredo, Texas",,
"Longview, Texas",,
"Lubbock, Texas",,
"Midland, Texas",,
"Wichita Falls, Texas",,
"Odessa, Texas",,
"Prairie View, Texas",,
"Huntsville, Texas",,
"Kerriville, Texas",,
"Levelland, Texas",,
"McAllen, Texas",,
"Georgetown, Texas",,
"San Antonio, Texas",,
"Nacogdoches, Texas",,
"Alpine, Texas",,
"Stephenville, Texas",,
"Texarkana, Texas",,
"College Station, Texas",,
"Kileen, Texas",,
"Commerce, Texas",,
"Corpus Christi, Texas",,
"Kingsville, Texas",,
"Fort Worth, Texas",,
"Tyler, Texas",,
"Seguin, Texas",,
"San Marcos, Texas",,
"El Paso, Texas",,
"Denton, Texas",,
"San Antonia, Texas",,
"Irving, Texas",,
"Victoria, Texas",,
"Belton, Texas",,
"Edinburg, Texas",,
"Arlington, Texas",,
"Plainview, Texas",,
"Canyon, Texas",,
"Provo, Utah",,
"St. George, Utah",,
"Salt Lake City, Utah",,
"Ephraim, Utah",,
"Cedar City, Utah",,
"Logan, Utah",,
"Orem, Utah",,
"Ogden, Utah",,
"Bennington, Vermont",,
"Castleton, Vermont",,
"Burlington, Vermont",,
"Montpelier, Vermont",,
"Plainfield, Vermont",,
"Putney, Vermont",,
"Middlebury, Vermont",,
"Johnson, Vermont",,
"Lyndonville, Vermont",,
"Northfield, Vermont",,
"Colchester, Vermont",,
"Craftsbury Common, Vermont",,
"South Royalton, Vermont",,
"Randolph, Vermont",,
"Charlotte Amalie, Virgin Islands",,
"Danville, Virginia",,
"Bluefield, Virginia",,
"Bridgewater, Virginia",,
"Newport News, Virginia",,
"Harrisonburg, Virginia",,
"Norfolk, Virginia",,
"Emory, Virginia",,
"Ferrum, Virginia",,
"Fairfax, Virginia",,
"Hampden-Sydney, Virginia",,
"Hampton, Virginia",,
"Roanoke, Virginia",,
"Lynchburg, Virginia",,
"Farmville, Virginia",,
"Staunton, Virginia",,
"Arlington, Virginia",,
"Radford, Virginia",,
"Ashland, Virginia",,
"Salem, Virginia",,
"Winchester, Virginia",,
"Buena Vista, Virginia",,
"Sweet Briar, Virginia",,
"Fredericksburg, Virginia",,
"Richmond, Virginia",,
"Charlottesville, Virginia",,
"Wise, Virginia",,
"Abingdon, Virginia",,
"Lexington, Virginia",,
"Petersburg, Virginia",,
"Blacksburg, Virginia",,
"Virginia Beach, Virginia",,
"Williamsburg, Virginia",,
"Washington, Washington, D.C.",,
"Bellevue, Washington",,
"Bellingham, Washington",,
"Bothell, Washington",,
"Ellensburg, Washington",,
"Centralia, Washington",,
"Vancouver, Washington",,
"Lakewood, Washington",,
"Pasco, Washington",,
"Cheney, Washington",,
"Lynnwood, Washington",,
"Everett, Washington",,
"Olympia, Washington",,
"Spokane, Washington",,
"Aberdeen, Washington",,
"Auburn, Washington",,
"Des Moines, Washington",,
"Kirkland, Washington",,
"Longview, Washington",,
"Seattle, Washington",,
"Bremerton, Washington",,
"Tacoma, Washington",,
"Port Angeles, Washington",,
"Renton, Washington",,
"Lacey, Washington",,
"Mount Vernon, Washington",,
"Walla Walla, Washington",,
"Pullman, Washington",,
"Wenatchee, Washington",,
"Yakima, Washington",,
"Philippi, West Virginia",,
"Bethany, West Virginia",,
"Bluefield, West Virginia",,
"Athens, West Virginia",,
"Elkins, West Virginia",,
"Fairmont, West Virginia",,
"Glenville , West Virginia",,
"Huntington, West Virginia",,
"Vienna, West Virginia",,
"Keyser, West Virginia",,
"Salem, West Virginia",,
"Shepherdstown, West Virginia",,
"Charleston, West Virginia",,
"West Liberty, West Virginia",,
"Lewisburg, West Virginia",,
"Institute, West Virginia",,
"Morgantown, West Virginia",,
"Montgomery, West Virginia",,
"Parkersburg, West Virginia",,
"Buckhannon, West Virginia",,
"Wheeling, West Virginia",,
"Milwaukee, Wisconsin",,
"Beloit, Wisconsin",,
"Waukesha, Wisconsin",,
"Kenosha, Wisconsin",,
"Mequon, Wisconsin",,
"Madison, Wisconsin",,
"Plymouth, Wisconsin",,
"Appleton, Wisconsin",,
"Watertown, Wisconsin",,
"Fond Du Lac, Wisconsin",,
"Ashland, Wisconsin",,
"Ripon, Wisconsin",,
"De Pere, Wisconsin",,
"Eau Claire, Wisconsin",,
"Green Bay, Wisconsin",,
"La Crosse, Wisconsin",,
"Oshkosh, Wisconsin",,
"Somers, Wisconsin",,
"Platteville, Wisconsin",,
"River Falls, Wisconsin",,
"Stevens Point, Wisconsin",,
"Menomonie, Wisconsin",,
"Superior, Wisconsin",,
"Whitewater, Wisconsin",,
"Casper, Wyoming",,
"Torrington, Wyoming",,
"Laramie, Wyoming",,
"Rock Springs, Wyoming",,
